UMAP1,UMAP2
11.803939,9.860996
7.1527343,-2.8065083
10.356758,9.567514
-2.7036598,7.5442166
1.3280399,6.451054
1.1707717,4.583656
5.626329,1.807901
0.9590369,8.302796
1.3134251,8.428545
-3.6161497,4.1321554
12.084706,6.8237734
12.095174,10.51051
7.107461,-2.2027812
11.260225,6.9120245
11.879087,9.627242
-2.8605359,3.4986243
11.603719,7.6651006
1.5083841,3.608251
8.092782,-0.6316785
11.350518,7.0026994
9.249586,9.762217
0.4731908,3.5808513
1.2277988,5.2832766
-0.3373731,6.1777077
12.69675,7.878231
-2.5895014,3.3723345
-2.4929533,7.703866
9.280142,9.899007
12.962608,7.527547
10.980037,7.8011384
-1.2311412,7.4563656
7.1142607,-2.1796694
10.524398,9.396735
7.5174775,-2.6686418
1.2904693,4.64701
2.8047013,8.463898
6.8528633,1.2773226
11.800859,9.409715
2.3537657,3.8361137
1.0123788,7.9449096
-1.9683619,7.9672294
1.552306,8.317684
11.909473,10.912263
12.082542,6.7575073
-1.7963356,7.0216107
0.77518797,3.7905755
5.3626957,1.993552
10.26155,10.053231
7.721885,1.4586898
11.726086,10.907406
1.3136088,4.759238
10.365446,10.148394
12.02005,10.183049
7.140222,0.7484401
0.47772425,5.5831747
11.548918,10.075427
1.3613839,4.843975
5.4653215,1.2396793
5.5617027,1.1081012
10.400417,9.574008
-1.7218589,7.02846
-3.9642808,3.3741558
2.055061,4.9166117
1.1914654,5.0563593
0.79730964,3.3827403
10.518726,9.654195
2.0754333,3.9556015
-1.3675435,3.545503
11.077052,7.721134
7.716859,1.5456699
9.8101845,10.105225
11.264554,10.581868
12.078649,6.7445145
11.309639,8.212736
7.3985443,1.7423922
-2.077508,7.934265
2.8646436,8.482913
10.957157,7.827369
11.850908,10.578699
-3.0992086,3.9750023
-2.3168945,2.5351815
5.9588523,1.1353459
10.092781,10.881323
-0.55970526,6.0558333
7.10685,-0.20828009
1.6163584,7.3497825
-2.7212224,7.5411315
5.503983,1.4533533
6.648731,-2.760532
10.450664,9.198146
11.2776985,7.777333
6.508516,0.2947279
6.807701,0.016574932
2.6962912,3.6956935
10.4225645,9.12371
9.4254055,9.530682
2.7636905,8.303603
-3.1068401,3.341232
2.0976322,3.786955
7.7519584,0.91955626
10.339831,9.863048
2.0602078,4.253144
11.378401,9.76765
0.6002457,5.606824
11.9296465,10.430582
0.20200746,6.337896
6.8306537,-2.7041092
10.189149,10.761921
2.7422721,4.5808334
-2.396397,1.9073433
-2.4418392,7.354591
1.971145,4.5616627
6.768299,0.25479147
-2.5290668,2.1998158
7.669326,1.6275647
11.943038,10.4260235
10.343605,8.521812
11.600786,10.908642
-3.3536832,1.9926484
0.3568004,4.363273
1.224905,5.0824857
4.984789,0.97857404
10.649755,9.73626
-1.7244327,2.9022148
9.853871,9.421774
8.002043,-0.54120404
-2.690542,2.6095977
7.8153043,-2.5763671
7.5088825,-2.747087
11.340194,10.307116
0.76401895,3.7227232
9.651533,9.673921
5.0067496,1.3520956
-1.2460915,7.836378
-1.8644027,3.6955385
-1.5269188,7.6326385
-2.1145654,7.5800843
-2.1728396,2.2679682
10.893163,7.796566
-1.8544725,3.128214
-0.60089016,5.9502335
0.21232484,6.2273583
7.12931,0.81312484
0.64484143,4.303193
10.228122,9.217738
6.024005,1.2995692
6.7862463,-3.0118573
-2.6685767,7.7346225
12.260259,10.281152
7.5677457,-2.3619945
10.307949,9.184852
-2.0986545,6.84457
11.573927,9.846792
9.259378,9.781942
-3.2995434,3.2053223
11.935147,9.481791
12.415394,7.910947
11.720897,10.97001
-3.468252,3.7765176
-3.628084,3.6385427
-1.8156093,7.05971
-3.9464777,3.3350618
-3.3821638,1.9450953
6.734517,1.2016323
1.7749938,3.4476368
10.625702,9.169398
-2.8052835,1.9875056
-3.4732723,3.5806212
10.4685955,9.225467
1.475013,6.932228
2.7380478,8.325805
10.079775,9.140477
1.6459237,8.289904
11.953681,6.806643
-1.68461,7.7334204
7.0483637,-0.15278572
0.6772183,5.1070485
10.111945,9.999685
-2.5193005,2.6358137
2.938038,9.076691
9.857105,10.23895
-1.7221481,6.999729
-2.239441,3.5363746
-3.9107466,3.4442992
10.071875,8.609508
10.082751,10.791638
10.170224,10.032574
7.5501876,-2.7303514
5.548376,1.2062638
11.938689,10.887891
4.889768,1.9114056
10.019925,10.294988
7.492671,-2.7125115
12.818175,7.753601
-2.0750914,6.9398003
7.0298753,-2.122722
-1.4250814,6.2838745
4.6951213,1.354647
0.6314655,5.841622
10.142345,9.435356
-2.031083,2.7429993
-1.3437872,3.5437655
10.52693,10.501759
-1.0541685,6.576157
7.7935658,-2.3293464
9.411848,9.367317
6.2073665,0.5487012
1.704498,3.725591
2.6876447,8.207472
10.019932,9.154949
1.0631185,5.2168913
0.91188467,8.253553
4.690794,1.3177116
-1.2956115,7.6839256
-0.46148968,6.777941
4.642921,1.3543255
9.722416,10.11312
1.4159868,7.8460264
6.4255443,-2.1824212
4.5466285,2.0817456
-1.7224971,7.091682
12.508626,7.7175903
1.2451401,4.367973
2.634823,8.596183
1.4747145,7.909308
5.4447417,1.2232903
7.2483997,1.1892526
11.077054,10.774986
2.535558,3.8192465
7.6931973,1.6674631
10.192587,10.508365
0.29887262,4.7314644
-3.3390214,1.8577651
0.8808853,3.2801158
1.7528616,3.5625238
9.662947,10.491891
2.2047238,3.6042778
7.297814,-0.20882271
7.393451,1.1883637
10.826658,11.061888
11.970178,7.1944127
0.88304394,3.5599751
7.685754,0.20783322
0.6102053,4.0500164
5.9088006,1.5678564
6.8100305,-3.1180556
7.537037,-2.4730122
7.8436203,1.5063964
4.9113064,1.216376
1.4532061,6.841459
1.1152478,8.301041
-2.4897435,2.833285
-2.410939,2.5994046
10.432345,10.85897
-2.2153785,2.5067997
10.325731,10.904068
-2.485275,7.7128596
11.866549,9.792674
6.871431,0.3044925
1.0735527,6.7410755
-3.480013,3.7431824
6.6480026,-2.6913257
0.84453565,4.64947
11.513074,9.194982
10.5745735,10.171125
11.607109,10.245799
4.9554005,1.25998
2.9511726,8.940838
-0.4755317,6.7689624
11.634175,7.6639085
1.2465318,6.007678
-3.1970417,1.8046098
-1.773956,6.952464
10.33958,9.558651
1.7336857,4.327236
11.163873,11.188307
12.28333,7.916715
12.077853,6.7415066
-1.9281834,6.6667333
10.092675,10.46729
-3.7312438,3.639055
-2.9693797,3.3255708
0.48225862,3.5330317
7.8843555,-0.6509953
0.91376877,8.329797
11.907002,10.358765
5.2586317,1.1852857
7.100508,-2.8713627
0.59529257,5.449733
1.5737412,7.2288013
7.200571,1.0978998
-2.20952,6.8363056
10.160531,11.005317
12.657119,7.8988924
12.384233,9.98059
0.27725694,5.416289
11.247719,7.1836834
7.090045,1.3095286
